No. Of Ads,Ranking,,Keywords,Header,Text,URL,Location,Timestamp
1,1,1,El Paso Mexican restaurant,El Paso Mexican Food,Search the top Search Engines at one time on webcrawler.com ,www.webcrawler.com,,1269152766
2,1,0.5,El Paso Middle Eastern restaurant,Bing ™ Search Local,El Paso Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269140729
2,2,1,El Paso Middle Eastern restaurant,Middle eastern restaurant,Find middle eastern restaurant here. We offer local search in your area. ,elpaso.local.com,"El Paso, TX",1269140729
2,1,0.5,El Paso romantic restaurant,Fleming&#39;s Makes Memories,"Fleming&#39;s is the perfect dining spot for an elegant, romantic date. ",www.FlemingsSteakhouse.com,,1269154077
2,2,1,El Paso romantic restaurant,El Paso Romantic,Find user-reviewed Romantic Dining in your city or zip code! ,ElPaso.Citysearch.com,,1269154077
1,1,1,El Paso Spanish restaurant,Taqueria La Pila,"Enjoy Authentic Mexican Cuisine at Taqueria La Pila in El Paso, TX. ",TaqueriaLaPila.com,"8714 Alameda Avenue, El Paso, TX",1269152194
2,1,0.5,El Paso Steakhouse restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269053296
2,2,1,El Paso Steakhouse restaurant,El Paso Restaurants,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269053296
1,1,1,El Paso Sushi restaurant,El Paso Restaurants,Find listings &amp; reviews for top restaurants in El Paso. ,yellowpages.com,"El Paso, TX",1269051773
1,1,1,El Paso Tapas restaurant,Tapas Restaurants,Search Our Restaurants Listings For Spanish Cafes &amp; Tapas Near You! ,yellowpages.com,"El Paso, TX",1269150844
1,1,1,El Paso Thai restaurant,El Paso Restaurants,Find listings &amp; reviews for top restaurants in El Paso. ,yellowpages.com,"El Paso, TX",1269049615
2,1,0.5,El Paso Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055518
2,2,1,El Paso Vegan restaurant,Vegan restaurant,Find vegan restaurant here. We offer local search in your area. ,elpaso.local.com,"El Paso, TX",1269055518
1,1,1,El Paso Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054728
1,1,1,Fort Worth best restaurant,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269155438
1,1,1,Fort Worth Brazilian steakhouse,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269148671
1,1,1,Fort Worth Chinese restaurant,Fort Worth Chinese Restaurant,Fort Worth Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050295
2,1,0.5,Fort Worth fine dining restaurant,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269153511
2,2,1,Fort Worth fine dining restaurant,Fort Worth Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269153511
1,1,1,Fort Worth French restaurant,Fort Worth French Restaurant,Fort Worth Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147291
2,1,0.5,Fort Worth Greek restaurant,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269148103
2,2,1,Fort Worth Greek restaurant,Fort Worth Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148103
1,1,1,Fort Worth healthy restaurant,Fort Worth Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269154911
1,1,1,Fort Worth Indian restaurant,Fort Worth Indian Restaurant,Fort Worth Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269056046
2,1,0.5,Fort Worth Irish bar restaurant,Restaurant bar,"Happy Hour All Day - Everyday Wings, Burgers, Wraps and Salads ",BoomerjacksGrillandBar.AdzZoo.com,"Ft Worth, TX",1269133984
2,2,1,Fort Worth Irish bar restaurant,Fort Worth Irish Restaurant,Fort Worth Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269133984
1,1,1,Fort Worth Italian restaurant,Fort Worth Italian Restaurant,Fort Worth Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269048874
2,1,0.5,Fort Worth Japanese restaurant,Japanese Restaurants,Save time! Review our listings of local restaurants. ,Yellowbook.com,"Ft Worth, TX",1269052291
2,2,1,Fort Worth Japanese restaurant,Fort Worth Restaurants,Fort Worth Area Dining Guide. Complete Local Restaurant Listings. ,HelloFortWorth.com,,1269052291
1,1,1,Fort Worth Korean restaurant,Fort Worth Korean Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269050884
2,1,0.5,Fort Worth Mexican restaurant,Fort Worth Mexican Restaurant,Fort Worth Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269152723
2,2,1,Fort Worth Mexican restaurant,Fort Worth Mexican Restaurant,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,Texas,1269152723
1,1,1,Fort Worth Middle Eastern restaurant,Bing ™ Search Local,Fort Worth Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269140678
4,1,0.25,Fort Worth romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269154033
4,2,0.5,Fort Worth romantic restaurant,Fort Worth Restaurants,Read Listings &amp; Reviews Of Local Restaurants at Superpages ,www.superpages.com,,1269154033
4,3,0.75,Fort Worth romantic restaurant,Italian Food at it&#39;s Best,Fine Food. Fine Wine. Fine Service. Live Music. Try the Lobster Bisque! ,www.LocalAdLink.com,,1269154033
4,4,1,Fort Worth romantic restaurant,Fort Worth Romantic,Look for Top-rated Romantic Dining near you with our Ratings! ,Dallas.Citysearch.com,,1269154033
1,1,1,Fort Worth Spanish restaurant,Fort Worth Spanish Restaurant,Fort Worth Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269152135
2,1,0.5,Fort Worth Steak restaurant,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269054154
2,2,1,Fort Worth Steak restaurant,Steak restaurant,Find steak restaurant here. We offer local search in your area. ,fortworth.local.com,"Ft Worth, TX",1269054154
2,1,0.5,Fort Worth Steakhouse restaurant,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269053232
2,2,1,Fort Worth Steakhouse restaurant,Fort Worth Steakhouse,"Genuine Texas Cuisine &amp; Spectacular Service at our Ranch in Graham, TX. ",www.WildcatterRanch.com,"Dallas-Ft. Worth, TX",1269053232
1,1,1,Fort Worth Sushi restaurant,Sushi Zone,Authentic Japanese Sushi Bar Near Collins at Road to six flags ,www.sushizonerestaurant.com,"Dallas-Ft. Worth, TX",1269051722
1,1,1,Fort Worth Thai restaurant,Fort Worth Thai Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269049567
1,1,1,Fort Worth Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055473
1,1,1,Fort Worth Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054691
1,1,1,Fort Worth Wine Bar restaurant,Del Frisco&#39;s Fort Worth,"Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269133064
1,1,1,Fresno Bar restaurant,Popular Fresno Bars,Sign Up For 1 Amazing Deal A Day On Fresno&#39;s Best Local Bars &amp; Fun! ,www.Groupon.com/Fresno,"Fresno-Visalia, CA",1269132702
1,1,1,Fresno best restaurant,Restaurant Reviews,"Find the Perfect Restaurant! Browse by Cuisine, Location &amp; Features. ",www.zagat.com,,1269155880
1,1,1,Fresno Brazilian steakhouse,Fresno Steakhouses,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269150419
1,1,1,Fresno Chinese restaurant,Fresno Chinese Restaurant,Fresno Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269050495
1,1,1,Fresno Ethiopian restaurant,Fresno Ethiopian Restaurant,Fresno Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269057058
1,1,1,Fresno fine dining restaurant,Fresno Restaurant,Fresno Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269153672
1,1,1,Fresno French restaurant,Fresno French Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269147472
1,1,1,Fresno Greek restaurant,Fresno Greek Restaurant,Fresno Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269148286
1,1,1,Fresno Indian restaurant,Fresno Indian Restaurant,Fresno Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269056235
1,1,1,Fresno Irish bar restaurant,Fresno Irish Restaurant,Fresno Local Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269134163
2,1,0.5,Fresno Italian restaurant,70% OFF Restaurant,Get Huge Savings at Restaurant.com. $25 Gift Certificates for Just $3! ,www.Restaurant.com,,1269049062
2,2,1,Fresno Italian restaurant,Fresno Italian Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269049062
1,1,1,Fresno Japanese restaurant,Fresno Japanese Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269052861
1,1,1,Fresno Korean restaurant,Fresno Korean Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269051370
1,1,1,Fresno Mexican restaurant,Fresno Mexican Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269152897
1,1,1,Fresno Middle Eastern restaurant,Middle Eastern Cafes,Middle Eastern Cuisine Near You. Search Our Restaurant Listings Now! ,yellowpages.com,"Fresno-Visalia, CA",1269141249
2,1,0.5,Fresno romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269154206
2,2,1,Fresno romantic restaurant,Valentine&#39;s Day Dining,Find Reviews &amp; Listings for Romantic Restaurants in Fresno ,yellowpages.com,"Fresno-Visalia, CA",1269154206
1,1,1,Fresno Spanish restaurant,70% OFF - Restaurant.com®,Get Huge Savings at Restaurant.com. $25 Gift Certificates for Just $3! ,www.Restaurant.com,,1269152345
1,1,1,Fresno Steak restaurant,Ruth&#39;s Chris Steak House,Enjoy a complete three-course meal for only $39.95! Reserve today. ,www.ruthschris.com,,1269054335
1,1,1,Fresno Steakhouse restaurant,Fresno Steakhouses,Fresno Local Businesses Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269053430
1,1,1,Fresno Tapas restaurant,70% OFF Restaurant.com,$25 Gift Certificates for Just $3 Save Big on Dining Out Today! ,www.Restaurant.com,,1269150961
1,1,1,Fresno Thai restaurant,Fresno Thai Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269049732
1,1,1,Fresno Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055666
1,1,1,Fresno Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269054852
1,1,1,Honolulu best restaurant,Honolulu Restaurant Reviews,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269156028
1,1,1,Honolulu Brazilian steakhouse,Honolulu Brazilian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269150564
2,1,0.5,Honolulu Chinese restaurant,Honolulu Chinese Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269050643
2,2,1,Honolulu Chinese restaurant,Honolulu Restaurants,Honolulu Area Dining Guide. Complete Local Restaurant Listings. ,HelloHonolulu.com,,1269050643
1,1,1,Honolulu Ethiopian restaurant,Honolulu Ethiopian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269132292
1,1,1,Honolulu fine dining restaurant,Ruth&#39;s Chris Steak House,The greatest steak you&#39;ve ever had. Book your Honolulu table today. ,www.ruthschris.com,,1269153814
1,1,1,Honolulu French restaurant,Honolulu Restaurants,Free Guide to Oahu Restaurants Browse by Area or Cuisine ,WhereTraveler.com/Oahu,,1269147607
1,1,1,Honolulu Greek restaurant,Honolulu Greek Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269148437
1,1,1,Honolulu Indian restaurant,Honolulu Indian Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269056385
1,1,1,Honolulu Irish bar restaurant,Honolulu Irish Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269140455
1,1,1,Honolulu Italian restaurant,Honolulu Italian Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269049342
1,1,1,Honolulu Japanese restaurant,Honolulu Japanese Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269053006
1,1,1,Honolulu Korean restaurant,Honolulu Korean Restaurant,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269051498
1,1,1,Honolulu Mediterranean restaurant,Honolulu Restaurants,Free Guide to Oahu Restaurants Browse by Area or Cuisine ,WhereTraveler.com/Oahu,,1269147051
1,1,1,Honolulu Middle Eastern restaurant,Bing ™ Search Local,Find Local Business Listings Right in the Search Results on Bing.com ,www.bing.com/Local,,1269141402
1,1,1,Honolulu romantic restaurant,Romance Her at Fleming&#39;s,Reserve now for a perfect romantic evening of dining at Fleming&#39;s. ,www.FlemingsSteakhouse.com,,1269154686
1,1,1,Honolulu Spanish restaurant,Honolulu Spanish Restaurant,Find Local Restaurant Listings Right in the Search Results on Bing ,www.bing.com/Local,,1269152480
1,1,1,Honolulu Thai restaurant,Honolulu Thai Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269050075
1,1,1,Honolulu Vegan restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055804
1,1,1,Honolulu Vegetarian restaurant,Vegetarian Restaurants,VegGuide.Org: Your guide to veg food and shopping world-wide ,www.VegGuide.org,,1269055000
2,1,0.5,Houston Bar restaurant,Popular Houston Bars,Sign Up For 1 Amazing Deal A Day On Houston&#39;s Best Local Bars &amp; Fun ,www.Groupon.com/Houston,"Houston, TX",1269132392
2,2,1,Houston Bar restaurant,Houston Restaurants,Find listings &amp; reviews for top restaurants in the Houston area. ,yellowpages.com,"Houston, TX",1269132392
2,1,0.5,Houston best restaurant,"Del Frisco&#39;s Houston, TX","Award Winning Steak, Seafood And Wine List. Call For Reservations. ",www.DelFriscos.com,,1269155309
2,2,1,Houston best restaurant,Houston 1-Day Coupons,"Up to 90% off the best stuff to do! Restaurants, spas, events and more ",Deals.LivingSocial.com,,1269155309
1,1,1,Houston Brazilian steakhouse,Angus Grill Brazili,Enjoy an Exquisite Brazilian Dining Experience at Our Steakhouse. ,AngusGrillBrazilianSteakhouse.com,"6106 Westheimer Rd., Houston, TX",1269148530
3,1,0.333333333,Houston Chinese restaurant,Chinese American Cuisine,YAO Restaurant &amp; Bar. A Fine Dining Experience. Private Rooms Available ,www.LocalAdLink.com,,1269050168
3,2,0.666666667,Houston Chinese restaurant,Chinese Restaurants,"Search Our Restaurants Listings For Chinese Buffet, Take-Out &amp; Delivery ",yellowpages.com,"Houston, TX",1269050168
3,3,1,Houston Chinese restaurant,Houston Chinese Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing ™! ",www.bing.com/Local,,1269050168
1,1,1,Houston Ethiopian restaurant,Houston Ethiopian Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269056776
1,1,1,Houston fine dining restaurant,Fleming&#39;s in Texas,"Celebrate tonight with the best steaks, wine and service in town. ",FlemingsSteakhouse.com,Texas,1269153364
2,1,0.5,Houston French restaurant,Houston French Restaurant,Houston Restaurants Are Easier to Find on Bing-the Decision Engine ,www.bing.com/Local,,1269147153
2,2,1,Houston French restaurant,French Restaurants,Look for Top-rated French Restaurant near you with our Rating ,houston.Citysearch.com,"Houston, TX",1269147153
1,1,1,Houston Greek restaurant,Houston Local Restaurant,"Find Phone Numbers, Links, Prices, Maps &amp; More - Faster on Bing™! ",www.bing.com/Local,,1269147972
